type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
Pagsusuri,Kondisyon ng katawan,Mayroon bang anumang pagbabago mula sa huling check-up?,Walang pagbabago,May sakit ng ulo ako,Nahihilo ako,Hindi ako makatulog,Namamaga ako,Palaging pagod ako,May tibi ako,Makati ang balat ko,Iba pa,,,,,,,,,,,,
Pagsusuri,Kondisyon ng katawan,Kailan ito nagsimula?,counter_kara,,,,,,,,,,,,,,,,,,,,
Pagsusuri,Paninigas ng tiyan at sanggol,Kailan naninigas ang tiyan mo?,Pagkatapos maglakad,Pagkatapos tumayo nang matagal,Pagkatapos magbuhat ng mabigat,Bigla na lang naninigas kahit walang ginagawa,Ngayong araw,,,,,,,,,,,,,,,,
Pagsusuri bago ang eksaminasyon,Bago ang eksaminasyon,Lumipat sa kwarto ng doktor,Hubarin ang underwear at umupo sa upuang pang-eksaminasyon,Hubarin ang sapatos,,,,,,,,,,,,,,,,,,,
Pagsusuri,Paninigas ng tiyan at sanggol,Naninigas ba ang tiyan mo?,Oo,Hindi,,,,,,,,,,,,,,,,,,,
Pagsusuri,Paninigas ng tiyan at sanggol,Ilang beses sa isang araw tumitigas ang tiyan?,1 beses,Mga 5 beses,Mga 10 beses,Maraming beses,,,,,,,,,,,,,,,,,
Pagsusuri,Paninigas ng tiyan at sanggol,May sakit ba kapag naninigas ang tiyan?,Oo,Hindi,,,,,,,,,,,,,,,,,,,
Pagsusuri,Paninigas ng tiyan at sanggol,Gumagalaw ba ang sanggol?,Oo,Hindi,,,,,,,,,,,,,,,,,,,
Pagsusuri,Paninigas ng tiyan at sanggol,Mayroon bang pagdurugo?,Oo,Hindi,,,,,,,,,,,,,,,,,,,
Paliwanag,Suporta,Hayaan mong gamitin natin ang voucher mula sa maternal book ngayong araw,Pagsusuri sa cervical cancer,Pagsusuri ng dugo,Ultrasound,Check-up,Edukasyong pangkalusugan,Iba pa,,,,,,,,,,,,,,,
Pagsusuri,Reseta bibigyan ka ng gamot,Bibigyan ka ng gamot,Bibigyan ka ng gamot para pababain ang presyon ng dugo,Bibigyan ka ng gamot para pahintuin ang paninigas ng tiyan,Bibigyan ka ng gamot para sa iron deficiency,Bibigyan ka ng gamot para sa tibi,Bibigyan ka ng gamot para sa sakit sa tiyan,Bibigyan ka ng gamot para sa sipon,Bibigyan ka ng gamot para sa pamamaga,Iba pa,,,,,,,,,,,,,
Eksaminasyon,Silid ng doktor,Ipapaliwanag ang resulta ng check-up,Ipagpapatuloy natin ang obserbasyon,Maayos ang kalagayan,Mga susunod na schedule ng check-up,1-12 (piliin ang numero),1-31 (piliin ang numero),,,,,,,,,,,,,,,,
Eksaminasyon,Silid ng doktor,Paliwanag kung kailan kailangang makipag-ugnayan sa ospital,Kapag may pagdurugo sa ari,Kapag may lumabas na tubig mula sa ari,Kapag sumasakit ang tiyan nang higit sa isang beses kada 10 minuto,Kapag hindi gaanong gumagalaw ang sanggol,,,https://rasc.jp/wp-content/uploads/tagalog02.pdf,,,,,,,,,,,,,,
Eksaminasyon,Ultrasound (sa tiyan),Tingnan natin ang sanggol gamit ang ultrasound,Mahiga sa kama at ilabas ang tiyan,,,,,,,,,,,,,,,,,,,,
Eksaminasyon,Internal exam,Gagawin natin ang eksaminasyon,Tingnan natin ang cervix (bukana ng bahay-bata),Ipapasok ang instrumento sa ari,Tingnan natin ang sanggol gamit ang ultrasound,,,,,,,,,,,,,,,,,,
Eksaminasyon,Ultrasound (sa ari at tiyan),Ipapaliwanag sa screen,Ito ang sanggol,Ito ang puso,Ito ang mukha,Ito ang paa,Ito ang hiwa ng tiyan,Maayos ang timbang ng sanggol,Malusog ang sanggol,Walang problema,,,,,,,,,,,,,
Eksaminasyon,Internal exam,Magsasagawa tayo ng pagsusuri,Pagsusuri para sa cervical cancer,Pagsusuri kung may nakahahawang virus na maaaring maipasa sa sanggol,Maaaring makaramdam ng kaunting sakit,Tapos na,,,,,,,,,,,,,,,,,
Eksaminasyon,Matapos ang internal exam,Tapos na ang eksaminasyon. Bababa ang upuan.,Magsuot muli ng underwear,"Kapag handa ka na, bumalik sa kwarto kung saan tayo nag-usap",Maghintay sa labas hanggang tawagin ulit,,,Maaaring magkaroon ng pagdurugo,"Kung may napkin ka, pakigamit",,,,,,,,,,,,,,
Eksaminasyon,NST (non-stress test),Susuriin natin ang paninigas ng tiyan at kalagayan ng sanggol gamit ang aparato sa tiyan,Tumatagal ito ng mga 20 minuto,Tumatagal ito ng mga 40 minuto,Tumatagal ito ng mga 50 minuto,Tumatagal ito ng mga 60 minuto,Maupo sa upuan,Mahiga sa kama,Isusuot ang dalawang sinturon,Ikakabit ang dalawang aparato,"Kung hindi maganda ang pakiramdam, pindutin ang nurse call button",,,,,,,,,,,,
Eksaminasyon,Pagsusuri ng dugo,Kukuha tayo ng dugo para sa pagsusuri,Pagsusuri para sa mga virus na maaaring maipasa sa sanggol,Pagsusuri ng blood type,Pagsusuri kung may anemia,Pagsusuri ng blood sugar,,,,,,,,,,,,,,,,,
Eksaminasyon,Pagsusuri ng blood sugar,"Matapos ang pagsusuri ng blood sugar, uminom muna ng juice",Kukuha tayo ng dugo makalipas ang isang oras,,,,,,,,,,,,,,,,,,,,
