type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
Entrevista,Condição de saúde,Houve alguma mudança desde a última consulta?,Não houve mudanças,Tenho dor de cabeça,Tenho náusea,Não consigo dormir,Tenho inchaço,Me sinto cansado(a),Tenho prisão de ventre,Estou com coceira,Outro,,,,,,,,,,,,
Entrevista,Condição de saúde,Desde quando?,counter_kara,,,,,,,,,,,,,,,,,,,,
Entrevista,Contrações uterinas & feto,Quando a barriga fica dura?,Depois de caminhar,Depois de ficar muito tempo em pé,Depois de carregar algo pesado,"De repente, sem relação com o movimento",Hoje,,,,,,,,,,,,,,,,
Exame & Consulta,Antes do exame ginecológico,"Por favor, vá para a sala de exame",Remova a roupa íntima e sente-se na cadeira de exame,Tire os sapatos,,,,,,,,,,,,,,,,,,,
Entrevista,Contrações uterinas & feto,Você sente a barriga endurecer?,Sim,Não,,,,,,,,,,,,,,,,,,,
Entrevista,Contrações uterinas & feto,Quantas vezes por dia a barriga endurece?,1 vez,Cerca de 5 vezes,Cerca de 10 vezes,Muitas vezes,,,,,,,,,,,,,,,,,
Entrevista,Contrações uterinas & feto,"Quando sua barriga endurece, sente dor?",Sim,Não,,,,,,,,,,,,,,,,,,,
Entrevista,Contrações uterinas & feto,O bebê está se movendo?,Sim,Não,,,,,,,,,,,,,,,,,,,
Entrevista,Contrações uterinas & feto,Há sangramento?,Sim,Não,,,,,,,,,,,,,,,,,,,
Explicação,Cupom de apoio,Hoje você usará o cupom de apoio do caderno materno,Xame de câncer do colo do útero,Exame de sangue,Ultrassom,Consulta,Orientação de saúde,Outro,,,,,,,,,,,,,,,
Entrevista,Prescrição médica,Vou prescrever um medicamento,Vai baixar a pressão arterial,Vai aliviar as contrações,Vai aumentar os níveis de ferro,Vai tratar a prisão de ventre,Vai tratar os sintomas gástricos,Vai tratar o resfriado,Vai tratar inflamações,Outro,,,,,,,,,,,,,
Exame & Consulta,Sala de consulta,Vou explicar os resultados da consulta,Vamos continuar observando,Está tudo indo bem,Esta é a data da próxima consulta,1-12 meses (selecionar número),1-31 dias (selecionar número),,,,,,,,,,,,,,,,
Exame & Consulta,Sala de consulta,Vou explicar quando é necessário entrar em contato,Se houver sangramento vaginal,Se houver saída de líquido pela vagina,Se houver dor abdominal a cada 10 minutos ou menos,Se achar que o bebê está se mexendo menos,,,https://rasc.jp/wp-content/uploads/portuguese02.pdf,,,,,,,,,,,,,,
Exame & Consulta,Ultrassom abdominal,Vamos verificar o bebê com um ultrassom abdominal,Deite-se na cama e exponha a barriga,,,,,,,,,,,,,,,,,,,,
Exame & Consulta,Exame ginecológico,Vamos realizar o exame,Vamos verificar a condição do colo do útero,O instrumento será inserido na vagina,Vamos verificar o bebê com um ultrassom,,,,,,,,,,,,,,,,,,
Exame & Consulta,Ultrassom transvaginal & abdominal,Vou explicar na tela,Aqui está o bebê,Aqui está o coração,Aqui está o rosto,Aqui estão os pés,Aqui está uma seção transversal do abdômen,O peso do bebê está dentro do normal,O bebê está saudável,Não há problemas,,,,,,,,,,,,,
Exame & Consulta,Exame ginecológico,Vamos fazer um teste,Vamos realizar o exame de câncer do colo do útero,Vamos verificar se há vírus infecciosos que podem afetar o bebê,Haverá um pouco de dor,O exame terminou,,,,,,,,,,,,,,,,,
Exame & Consulta,Após o exame ginecológico,A consulta terminou. A cadeira será abaixada.,Coloque a roupa íntima,"Quando estiver pronto(a), vá para a sala onde conversamos antes","Vou chamá-lo(a) novamente, então, aguarde do lado de fora",,,"Se tiver um absorvente, use-o","Se tiver absorvente, use-o",,,,,,,,,,,,,,
Exame & Consulta,NST,Vamos monitorar as contrações e o bem-estar do bebê com um dispositivo na barriga,Levará cerca de 20 minutos,Levará cerca de 40 minutos,Levará cerca de 50 minutos,Levará cerca de 60 minutos,Sente-se na cadeira,Deite-se na cama,Serão colocados dois cintos,Serão colocados dois dispositivos,"Se sentir algum desconforto, aperte o botão de chamada para a enfermeira",,,,,,,,,,,,
Exame & Consulta,Exame de sangue,Vamos realizar um exame de sangue,Vamos verificar se há vírus infecciosos que podem afetar o bebê,Vamos verificar o tipo sanguíneo,Vamos verificar se há anemia,Vamos medir os níveis de glicose no sangue,,,,,,,,,,,,,,,,,
Exame & Consulta,Exame de glicose,"Após o exame de glicose, beba o suco primeiro",Será coletado sangue uma hora depois,,,,,,,,,,,,,,,,,,,,
Farmácia,Medicamento oral,Medicamento oral,Pó,Comprimido,Líquido,Pomada,Supositório vaginal,Supositório,Antisséptico bucal,Pomada,,,,,,,,,,,,,
Farmácia,Medicamento oral,Frequência de administração,Manhã,Meio-dia,Noite,Antes das refeições,Durante as refeições,Após as refeições,Quando dói,Quando coça,Quando há muito corrimento,,,,,,,,,,,,
Farmácia,Medicamento oral,Frequência de administração (limite),Intervalo de 4 horas,Intervalo de 6 horas,Máx. 2 comprimidos por dia,Máx. 3 comprimidos por dia,Máx. 4 comprimidos por dia,,,,,,,,,,,,,,,,
Farmácia,Pomada,Local de aplicação,Rosto,Pernas,Abdômen,Costas,Nádegas,Vagina,,,,,,,,,,,,,,,
Farmácia,Pomada,Desde quando?,Agora há pouco,Há 3 horas,Há 6 horas,Há 9 horas,Há meio dia,Ontem,Anteontem,Há mais tempo,,,,,,,,,,,,,
Entrevista (Obstetriz),Entrevista (Condição de saúde),Você está se alimentando bem?,Estou comendo três refeições por dia,Estou comendo duas refeições por dia,Estou comendo uma refeição por dia,Não consigo comer,Estou tomando líquidos,Estou fazendo lanches,Outro,,,,,,,,,,,,,,
Entrevista (Obstetriz),Entrevista (Condição de saúde),Você está dormindo bem?,Sim,Às vezes acordo,Frequentemente acordo,Quase não consigo dormir,,,,,,,,,,,,,,,,,
Entrevista (Obstetriz),Explicação (Orientação),Esta é a explicação necessária para você. Leia a cartilha.,Hipertensão gestacional(para a Série de apoio para mãe e bebê)||https://rasc.jp/wp-content/uploads/portuguese04.pdf,Diabetes gestacional(para a Série de apoio para mãe e bebê)||https://rasc.jp/wp-content/uploads/portuguese05.pdf,Ameaça de aborto(para a Série de apoio para mãe e bebê)||https://rasc.jp/wp-content/uploads/portuguese06.pdf,Ameaça de parto prematuro(para a Série de apoio para mãe e bebê)||https://rasc.jp/wp-content/uploads/portuguese06.pdf,,,,,,,,,,,,,,,,,
Entrevista (Obstetriz),Explicação (Plano de parto),"Se tiver alguma preferência para o parto, pense sobre isso",Plano de parto(para a Série de apoio para mãe e bebê)||https://rasc.jp/wp-content/uploads/portuguese09.pdf,,,,,,,,,,,,,,,,,,,,
Entrevista (Obstetriz),Explicação (Parto),Aqui está a explicação sobre o parto. Leia a cartilha.,Preparação para internação(para a Série de apoio para mãe e bebê)||https://rasc.jp/wp-content/uploads/portuguese02.pdf,Cesárea(para a Série de apoio para mãe e bebê)||https://rasc.jp/wp-content/uploads/portuguese03.pdf,Indução do parto(para a Série de apoio para mãe e bebê)||https://rasc.jp/wp-content/uploads/portuguese08.pdf,,,,,,,,,,,,,,,,,,
Série de apoio para mãe e bebê,冊子リンク,Clique em um item para ler o PDF.,Capa (colorida)||https://rasc.jp/wp-content/uploads/portuguese00-0.pdf,Capa (branca)||https://rasc.jp/wp-content/uploads/portuguese00-0W.pdf,Introdução||https://rasc.jp/wp-content/uploads/portuguese00-1.pdf,Sumário||https://rasc.jp/wp-content/uploads/portuguese00-2.pdf,Perguntas feitas pelo ginecologista||https://rasc.jp/wp-content/uploads/portuguese01.pdf,Quando comunicar o hospital?||https://rasc.jp/wp-content/uploads/portuguese02.pdf,Sobre o parto no Japão||https://rasc.jp/wp-content/uploads/portuguese03.pdf,Doença Hipertensiva Específica da Gestação (DHEG)||https://rasc.jp/wp-content/uploads/portuguese04.pdf,Diabetes Mellitus Gestacional(DMG)||https://rasc.jp/wp-content/uploads/portuguese05.pdf,Aborto e parto prematuro iminentes||https://rasc.jp/wp-content/uploads/portuguese06.pdf,Bactéria Estreptococos do Grupo B(EGB)||https://rasc.jp/wp-content/uploads/portuguese07.pdf,Sobre a indução do parto||https://rasc.jp/wp-content/uploads/portuguese08.pdf,Plano de nascimento||https://rasc.jp/wp-content/uploads/portuguese09.pdf,Cotidiano pós-parto||https://rasc.jp/wp-content/uploads/portuguese10.pdf,Amamentaçã||https://rasc.jp/wp-content/uploads/portuguese11.pdf,Sobre o recém-nascido||https://rasc.jp/wp-content/uploads/portuguese12.pdf,Sobre recursos sociais||https://rasc.jp/wp-content/uploads/portuguese13.pdf,Vacinação||https://rasc.jp/wp-content/uploads/portuguese14.pdf,Termos comuns ao parto||https://rasc.jp/wp-content/uploads/portuguese15.pdf,Coluna. Conselhos de mães de outros países que tiveram o parto no Japão||https://rasc.jp/wp-content/uploads/portuguese98.pdf,Lista de responsáveis||https://rasc.jp/wp-content/uploads/portuguese99.pdf
